sweep_id,direction,swept_swing_level,swing_confirm_time,breach_time,breach_extreme,rejection_close_time,rejection_close_price,breach_distance_atr,frozen_atr,bars_breach_to_rejection
1,bearish,1074.235500,2016-01-04 11:15:00,2016-01-04 11:30:00,1074.771500,2016-01-04 11:45:00,1074.048500,0.446879,1.199429,1
2,bullish,1076.465500,2016-01-05 11:15:00,2016-01-05 14:00:00,1075.410000,2016-01-05 14:30:00,1077.833500,0.653531,1.615071,2
3,bearish,1093.047500,2016-01-06 17:15:00,2016-01-06 18:45:00,1094.389500,2016-01-06 19:30:00,1092.919000,0.778390,1.724071,3
4,bullish,1096.008500,2016-01-08 12:15:00,2016-01-08 13:45:00,1092.745000,2016-01-08 14:00:00,1099.445000,1.641275,1.988393,1
5,bearish,1104.184500,2016-01-08 08:45:00,2016-01-08 16:30:00,1105.265000,2016-01-08 16:45:00,1103.456500,0.332170,3.252857,1
6,bullish,1099.135000,2016-01-11 12:30:00,2016-01-11 15:30:00,1097.271000,2016-01-11 16:00:00,1099.564500,0.841223,2.215821,2
7,bearish,1098.180500,2016-01-12 07:30:00,2016-01-12 08:15:00,1099.361500,2016-01-12 08:30:00,1096.311000,0.917129,1.287714,1
8,bullish,1088.741500,2016-01-18 16:45:00,2016-01-18 18:00:00,1088.585000,2016-01-18 18:15:00,1089.000000,0.282746,0.553500,1
9,bullish,1087.730000,2016-01-19 09:45:00,2016-01-19 10:30:00,1086.548000,2016-01-19 11:15:00,1087.733500,0.620345,1.905393,3
10,bearish,1093.899000,2016-01-20 07:00:00,2016-01-20 07:30:00,1095.050000,2016-01-20 07:45:00,1093.795000,1.196288,0.962143,1
