zone_id,direction,zone_creation_time,zone_high,zone_low,bos_swing_level,displacement_atr,fvg_present,ob_candle_time,ob_candle_open,ob_candle_high,ob_candle_low,ob_candle_close,impulse_start_time,impulse_end_time,impulse_extreme
1,bullish,2016-01-04 13:30:00,1072.534000,1070.605500,1074.235500,4.632017,False,2016-01-04 13:00:00,1072.525000,1072.534000,1070.605500,1071.376000,2016-01-04 13:15:00,2016-01-04 13:30:00,1078.604000
2,bearish,2016-01-05 14:00:00,1081.503500,1078.451000,1076.465500,3.772898,False,2016-01-05 13:15:00,1079.869000,1081.503500,1078.451000,1079.937000,2016-01-05 13:30:00,2016-01-05 14:00:00,1075.410000
3,bullish,2016-01-06 18:45:00,1091.650000,1090.531000,1093.047500,2.238016,True,2016-01-06 17:45:00,1091.136000,1091.650000,1090.531000,1091.069500,2016-01-06 18:00:00,2016-01-06 18:45:00,1094.389500
4,bullish,2016-01-07 13:15:00,1099.805000,1097.951000,1100.715000,4.008214,True,2016-01-07 12:30:00,1098.990000,1099.805000,1097.951000,1098.093500,2016-01-07 12:45:00,2016-01-07 13:15:00,1104.364000
5,bearish,2016-01-08 07:15:00,1104.184500,1103.309000,1101.456500,5.942673,True,2016-01-08 06:00:00,1103.479500,1104.184500,1103.309000,1103.719000,2016-01-08 06:15:00,2016-01-08 07:15:00,1098.638500
6,bearish,2016-01-08 13:45:00,1101.583500,1100.119500,1096.008500,4.445047,False,2016-01-08 12:30:00,1100.683500,1101.583500,1100.119500,1101.348000,2016-01-08 12:45:00,2016-01-08 13:45:00,1092.745000
7,bullish,2016-01-08 14:15:00,1099.266000,1092.745000,1104.184500,4.317492,False,2016-01-08 13:30:00,1099.116000,1099.266000,1092.745000,1097.783500,2016-01-08 13:45:00,2016-01-08 14:15:00,1104.675000
8,bearish,2016-01-11 09:00:00,1105.360000,1104.566500,1102.765000,2.961849,True,2016-01-11 08:15:00,1104.970500,1105.360000,1104.566500,1105.119000,2016-01-11 08:30:00,2016-01-11 09:00:00,1100.225000
9,bearish,2016-01-11 15:15:00,1103.323000,1100.487500,1099.135000,2.212497,False,2016-01-11 14:00:00,1101.049500,1103.323000,1100.487500,1103.119000,2016-01-11 14:15:00,2016-01-11 15:15:00,1098.715000
10,bullish,2016-01-12 08:15:00,1095.545000,1094.947000,1098.180500,3.428167,False,2016-01-12 07:45:00,1095.396000,1095.545000,1094.947000,1094.956500,2016-01-12 08:00:00,2016-01-12 08:15:00,1099.361500
